Name,Title,Year,Journal,Type,Keywords,Abstract,DOI,Article Affiliation,ORCID,Scopus ID,Google Scholar ID
Aleksandr Belakovskiy,Socially Distanced Teaching: Faculty Feedback on Teaching During Telemedicine,2022,Medical Science Educator,Article,education; faculty; patient perception; telemedicine,"2022, The Author(s) under exclusive licence to International Association of Medical Science Educators.Background: The purpose of our study was to evaluate the perceptions of clinical faculty while working with medical students in a novel setting of virtual care following the COVID-19 pandemic. Activity: A survey of faculty, fellows, and residents was conducted to assess educators’ perceptions of virtual teaching before trying it and after 3 months of experience. Results: Perceived effectiveness of teaching students acute care significantly improved as did perceived effectiveness of teaching chronic care. Discussion: We anticipate that continued experience and comfort with virtual platforms would boost this perception further, allowing faculty development to be honed for optimal teaching in this new paradigm.",10.1007/s40670-022-01685-9,University of Michigan Medical School,0000-0002-9691-5701,57201633519,
Aleksandr Belakovskiy,Telehealth and Medical Education,2022,Primary Care - Clinics in Office Practice,Review,medical education; medical student; resident; resident education; telehealth; telemedicine,,10.1016/j.pop.2022.04.003,University of Michigan Medical School,0000-0002-9691-5701,57201633519,
Aleksandr Belakovskiy,"Testosterone Deficiency, Weakness, and Multimorbidity in Men",2018,Scientific Reports,Article,deficiency weakness; man testosterone; multimorbidity man; testosterone; testosterone deficiency; testosterone tt; weakness multimorbidity; young testosterone,"2018 The Author(s).The purposes of this study were to evaluate the association between total testosterone (TT) deficiency and weakness on multimorbidity in men. Analyses were performed to examine the prevalence of multimobidity among young, middle-aged, and older men, with and without testosterone deficiency. Multivariate logistic models were also used to determine the association between age-specific TT tertiles and multimorbidity, adjusting for key sociodemographic variables, as well as a secondary analysis adjusted for grip strength. Multimorbidity was more prevalent among men with testosterone deficiency, compared to normal TT in the entire group (36.6% vs 55.2%; p < 0.001); however, differences were only seen within young (testosterone deficiency: 36.4%; normal TT: 13.5%; p < 0.001) and older men (testosterone deficiency: 75.0%; normal TT: 61.5%; p < 0.001). Robust associations were found between the age-specific low-TT (OR: 2.87; 95%CI: 2.14-3.83) and moderate-TT (OR: 1.67; 95%CI: 1.27-2.20) tertiles (reference high-TT) and multimorbidity. Secondary analysis demonstrated that both low TT (OR: 1.82; 95%CI: 1.29-2.55) and moderate-TT (OR: 1.31; 95%CI: 1.01-1.69) were associated with multimorbidity, even after adjusting for obesity (OR: 1.75; 95%CI: 1.07-2.87) and NGS (OR: 1.21 per 0.05 unit lower NGS). Low TT and weakness in men were independently associated with multimorbidity at all ages; however, multimorbidity was more prevalent among young and older men with testosterone deficiency.",10.1038/s41598-018-24347-6,University of Michigan Medical School,0000-0002-4364-993X,57201633519,
Aleksandr Belakovskiy,Testosterone Replacement Therapy for Male Hypogonadism,2024,American Family Physician,Article,hypogonadism; male hypogonadism; physicians testosterone; receive testosterone; serum testosterone; testosterone; testosterone deficiency; testosterone replacement; therapy male,"Copyright © 2024 American Academy of Family Physicians.Testosterone deficiency, or male hypogonadism, is a clinical syndrome that can be defined as persistently low serum testosterone levels in the setting of symptoms consistent with testosterone deficiency. Studies suggest that testosterone replacement therapy may improve sexual function, depressive symptoms, bone density, and lean body mass. Evidence is conflicting regarding its effect on cardiovascular events and mortality. Although prior studies suggested that testosterone replacement therapy increased the risk of cardiovascular disease, a large, randomized trial showed that it does not increase the risk of myocardial infarction or stroke, even in patients at high risk. After a detailed discussion of the potential benefits and risks through shared decision-making, testosterone replacement therapy should be considered for men with testosterone deficiency to correct selected symptoms and induce and maintain secondary sex characteristics. Treatment method should take into consideration patient preference, pharmacokinetics, potential for medication interactions, formulation-specific adverse effects, treatment burden, and cost. Clinicians should monitor men receiving testosterone replacement therapy for symptom improvement, potential adverse effects, and adherence. Serum testosterone, hematocrit, and prostate-specific antigen levels should be measured at baseline and at least annually in men 40 years or older receiving testosterone replacement therapy.",,University of Michigan Medical School,0000-0002-4364-993X,57201633519,
Alexandra Targan,A temporal skin lesion.,2020,Journal of Family Medicine and Primary Care,,epidermoid cyst; keratin granuloma; rupture cyst .,,10.4103/jfmpc.jfmpc_359_20,University of Michigan Medical School,0000-0002-4364-993X,57201633519,
Alexandra Targan,Brucellosis with pulmonary and spinal complications,2020,Consultant,Note,brucellosis; brucellosis pulmonary; patient spinal; pulmonary spinal; spinal complication,,10.25270/con.2020.06.00007,University of Colorado School of Medicine,0009-0006-2739-0602,57226820918,
Alexandra Targan,Does a sex education curriculum decrease unintended pregnancy in adolescents compared with an abstinence curriculum?,2021,Evidence-Based Practice,Note,adolescent; curriculum; education; pregnancy; tin,,10.1097/EBP.0000000000001051,University of Colorado Denver,0000-0003-4121-9159,57226820918,
Alexandra Targan,Family and Other Caregivers,2023,Chronic Illness Care,Book Chapter,caregiver; chronic and disable condition; family; informal caregiver,"The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.Informal caregiving, in which a friend or relative provides unpaid assistance to a person with a chronic or disabling condition, is an increasing need in the US, with an aging population and more than one in five persons identifying as caregivers. Caregiving can be rewarding, but can also be mentally, physically, and financially challenging. Tools that predict who may be at risk for caregiver burden and identify factors to protect against burden have been developed and validated. There are several public policies and technological advancements which aim to assist informal caregivers. A care recipient’s specific chronic or disabling condition can pose unique challenges for the caregiver. Understanding the nuances of various caregiving situations, including assessment of caregivers themselves, allows healthcare workers to best support informal caregivers in their crucial role in the healthcare system.",10.1007/978-3-031-29171-5_7,University of Michigan Medical School,0000-0003-4121-9159,57226820918,
Alexandra Targan,Taking Our Own Temperature: Using a Residency Climate Survey to Support Minority Voices,2022,Family Medicine,Article,climate; climate survey; faculty diversity; family medicine residency; lgbtq racial; minority voice; residency climate; resident faculty; support minority,"2022, Society of Teachers of Family Medicine. All rights reserved.BACKGROUND AND OBJECTIVES: Recruitment of underrepresented minorities (URM) in medicine has risen to the forefront as a strategy to address health inequities, but the experiences of URM residents within their own programs are poorly understood. We describe the development and implementation of a diversity, equity, and inclusion (DEI) climate survey at our residency program, the results of which have informed our DEI efforts. METHODS: A resident-faculty work group collaboratively developed an 81-item questionnaire, informed by other institutional climate surveys. We administered the survey annually from 2018 through 2021 to all residents and faculty at our large academic family medicine residency program. The anonymous survey covered six key areas: general climate, climate for specific group, personal experience with discrimination and harassment, recruitment, burnout, and curriculum. RESULTS: Average response rates were 84% and 50% for residents and faculty, respectively. Survey results show low satisfaction with resident and faculty diversity; higher rates of burnout for respondents who self-identify as URM, persons of color (POC), and/or LGBTQ; and racial and gender differences in experiences of workplace discrimination and sexual harassment. CONCLUSIONS: Instituting an annual internal climate survey at our residency has provided invaluable information regarding the perspectives and experiences of our residents and faculty that has informed our DEI initiatives. We envision that our survey will inform continual improvement and serve as a model for similar introspection leading to meaningful action at other programs.",10.22454/FamMed.2022.344019,Denver Health,0009-0006-2739-0602,57226820918,
Alisa Young,Cervical cancer screening: Impact of collection technique on human papillomavirus detection and genotyping,2025,Preventive Medicine Reports,Article,agreement .; cervical cancer screening; kappa .; primary hpv; self - sampling .; sensitivity .; specificity .,"2025Background: The Food and Drug Administration (FDA) in the US approved primary human papillomavirus (HPV) testing for speculum-based cervical cancer screening ten years ago and, in May 2024, approved the self-collection technique. Our study defines the kappa agreement between self- and speculum-based collection techniques for 15 types of high-risk HPV. Additionally, we describe the sensitivity and specificity ratios for HPV testing using both collection methods. Methods: Participants recruited in 2020–2022 included 97 colposcopy attendees and 96 routine primary care screening attendees aged 30–65, who agreed to self-sample before their clinically scheduled speculum-based exam. Prevalence-based kappa calculated agreement, sensitivity and specificity ratios calculated accuracy using the cervical intraepithelial neoplasia grade 2 or worse (CIN 2+) threshold. Results: The average ages were 45.9 (SD 10.5) and 46.2 (SD 11.0) years for the colposcopy and primary care attendees, respectively. HPV 16, 68, and 39 were the most common types detected. The lower bound of the 95 % Cl for kappa calculations was above 0.81, indicating almost perfect agreement across all HPV genotypes. The sensitivity and specificity ratios were consistent at 1.0 across both collection methods. The HPV positivity rate was significantly higher among colposcopy attendees at 66 % (64/97), compared to 14 % (13/96) among routine primary care screeners. The study identified 17 women with CIN2 + . Conclusions: Primary HPV screening with self-collection is equivalent to speculum-based collection among people aged 30–65. The findings emphasize the utility of self-collection in identifying high-grade lesions and the consistency of HPV detection across different collection methods.",10.1016/j.pmedr.2025.102971,University of Michigan Medical School,0009-0002-1116-955X,55939874100,
