Name,Author ID,Title,Year,Venue,keywords
"Phillip E. Rodgers, M.D.",27439187,Billing and Coding: Changes in Hospice and Palliative Care Practice (P04),2023,Journal of Pain and Symptom Management,[]
"Phillip E. Rodgers, M.D.",27439187,Surgical versus non-surgical management for patients with malignant bowel obstruction (S1316): a pragmatic comparative effectiveness trial.,2023,The Lancet Gastroenterology and Hepatology,[]
"Phillip E. Rodgers, M.D.",27439187,Advance Care Planning: The Authors Reply.,2022,Health Affairs,['Advance Care Planning']
"Phillip E. Rodgers, M.D.",27439187,Understanding The Use Of Medicare Procedure Codes For Advance Care Planning: A National Qualitative Study.,2022,Health Affairs,"['Medicare', 'Advance Care Planning']"
"Phillip E. Rodgers, M.D.",27439187,Is This ACP? A Focus Group Study of Patient Experiences of Advance Care Planning,2022,Journal of general internal medicine,['Advance Care Planning']
"Phillip E. Rodgers, M.D.",27439187,Following the Breadcrumbs of Palliative Care Financial Sustainability to Big Data.,2021,Journal of Palliative Medicine,['Bread']
"Phillip E. Rodgers, M.D.",27439187,Specialty Palliative Care in COVID-19: Early Experiences from the Palliative Care Quality Collaborative.,2021,Journal of Palliative Medicine,['Ear']
"Phillip E. Rodgers, M.D.",27439187,Speaker Introductions at Grand Rounds: Differences in Formality of Address by Gender and Specialty.,2021,Journal of Women's Health,[]
"Phillip E. Rodgers, M.D.",27439187,Getting Started (or Going Further) in Value-Based Payment Models (P16),2020,,"['Tin', 'Art']"
"Phillip E. Rodgers, M.D.",27439187,Intellectual Equipoise and Challenges: Accruing Patients With Advanced Cancer to a Trial Randomizing to Surgical or Nonsurgical Management (SWOG S1316),2020,The American journal of hospice & palliative care,[]
"Phillip E. Rodgers, M.D.",27439187,The Billing Boys Tell All: Preparing to Succeed with Medicare and the Billers at Home (TH334),2020,,['Medicare']
"Phillip E. Rodgers, M.D.",27439187,"Response to Bharadwaj et al., Challenges of Promoting Uniformity in Programs Within a Health Care System (DOI: 10.1089/jpm.2019.0404).",2020,Journal of Palliative Medicine,['Tin']
"Phillip E. Rodgers, M.D.",27439187,"End-of-Life Care: Serious Illness Progression, Prognostication, and Advance Care Planning.",2020,FP essentials,['Advance Care Planning']
"Phillip E. Rodgers, M.D.",27439187,Opportunities and Implications of Payment Reform for Serious Illness Care (TH362),2019,Journal of Pain and Symptom Management,[]
"Phillip E. Rodgers, M.D.",27439187,Policy Changes Key To Promoting Sustainability And Growth Of The Specialty Palliative Care Workforce.,2019,Health Affairs,"['Tin', 'Policy', 'Work']"
"Phillip E. Rodgers, M.D.",27439187,Comparing methadone rotation to consensus opinion.,2019,Journal of Pain and Symptom Management,"['Methadone', 'Consensus', 'Rotation']"
"Phillip E. Rodgers, M.D.",27439187,The XYZs of Billing and Clinical Revenue: Going Way Beyond the ABC’s (TH335),2019,Journal of Pain and Symptom Management,[]
"Phillip E. Rodgers, M.D.",27439187,Succeeding with What You Wished For: Alternative Payment Models and Key Success Factors (P11),2019,Journal of Pain and Symptom Management,[]
"Phillip E. Rodgers, M.D.",27439187,The Evolution from Futility to Non-Beneficial Treatment: Updates for the Palliative Care Clinician (FR480),2019,Journal of Pain and Symptom Management,[]
"Emad R.  Abou-Arab, M.D.",2296421051,Storylines of family medicine IX: people and places—diverse populations and locations of care,2024,Family Medicine and Community Health,['Family']
"Mercy A.  Adetoye, M.D., M.S.",80060016,Beyond Quality: Redesigning a Quality Conference With a Focus on Health Equity.,2023,PRiMER,[]
"Mercy A.  Adetoye, M.D., M.S.",80060016,Race and Gender Disparities Among Leadership in Academic Family Medicine,2022,Journal of the American Board of Family Medicine,"['Hip', 'Lead', 'Family']"
"Mercy A.  Adetoye, M.D., M.S.",80060016,Strategies to build trust with trainees who are underrepresented in medicine,2022,Journal of Hospital Medicine,"['Trust', 'Rain']"
"Mercy A.  Adetoye, M.D., M.S.",80060016,Coexisting posterior reversible encephalopathy syndrome and ischemic hepatopathy: A case report,2021,Clinical Case Reports,['Tin']
"Mercy A.  Adetoye, M.D., M.S.",80060016,Web Exclusive. Annals Story Slam - Voices of Medical Students and Residents: What Can Be Done to Build Trust.,2020,Annals of Internal Medicine,['Trust']
"Mercy A.  Adetoye, M.D., M.S.",80060016,Recruitment and Retention: A Guideline to Help Build Trust With Minority Candidates.,2019,Academic medicine : journal of the Association of American Medical Colleges,['Trust']
"James E. Aikens, Ph.D.",6953599,"Well-being outcomes of a family-focused intervention for persons with type 2 diabetes and support persons: Main, mediated, and subgroup effects from the FAMS 2.0 RCT.",2023,Diabetes Research and Clinical Practice,['Family']
"James E. Aikens, Ph.D.",6953599,Readmission Rates and Episode Costs for Alzheimer Disease and Related Dementias Across Hospitals in a Statewide Collaborative,2023,JAMA Network Open,['Dementia']
"James E. Aikens, Ph.D.",6953599,1015-P: Impact of Social Vulnerability on Resources for CGM Initiation across Michigan Primary Care Practices,2023,Diabetes,[]
"James E. Aikens, Ph.D.",6953599,Prerandomization withdrawals from a Type 2 diabetes self-care support intervention trial are associated with lack of available support person coparticipant.,2023,Chronic Illness,['Art']
"James E. Aikens, Ph.D.",6953599,1039-P: Examining Physician Case Studies on Success of Treatment Initiation in Patients with Type 2 Diabetes,2023,Diabetes,[]
"James E. Aikens, Ph.D.",6953599,653-P: Associations between Anxiety and Depression Levels and Hypoglycemia Awareness and Beliefs in Long-Term Advanced Diabetes Technology Users with Type 1 Diabetes (T1D),2023,Diabetes,"['Hypoglycemia', 'Awareness', 'Association', 'Technology']"
"James E. Aikens, Ph.D.",6953599,Psychological Support Strategies for Adults With Type 2 Diabetes in a Very Low–Carbohydrate Web-Based Program: Randomized Controlled Trial,2023,JMIR Diabetes,"['Hydra', 'Logic', 'Adult']"
"James E. Aikens, Ph.D.",6953599,Computerized Suicide Prevention Clinical Training Simulations: A Pilot Study,2023,Research on social work practice,['Rain']
"James E. Aikens, Ph.D.",6953599,An mHealth Text Messaging Program Providing Symptom Detection Training and Psychoeducation to Improve Hypoglycemia Self-Management: Intervention Development Study,2023,JMIR Formative Research,"['Hypoglycemia', 'Rain', 'Education']"
"James E. Aikens, Ph.D.",6953599,"Rationale, design, and recruitment outcomes for the family/friend activation to motivate self-care (FAMS) 2.0 randomized controlled trial among adults with type 2 diabetes and their support persons.",2022,Contemporary Clinical Trials,"['Family', 'Adult']"
"James E. Aikens, Ph.D.",6953599,PREDICTIVE MODEL OF 30-DAY HOSPITAL READMISSION FOR PATIENTS WITH ALZHEIMER’S DISEASE,2022,Innovation in aging,[]
"James E. Aikens, Ph.D.",6953599,907-P: Michigan Collaborative for Type 2 Diabetes: Mixed Methods Change Readiness Assessment of Provider Organizations and Clinical Champions,2022,Diabetes,[]
"James E. Aikens, Ph.D.",6953599,Beliefs Around Hypoglycemia and Their Impacts on Hypoglycemia Outcomes in Individuals with Type 1 Diabetes and High Risks for Hypoglycemia Despite Using Advanced Diabetes Technologies,2022,Diabetes Care,['Hypoglycemia']
"James E. Aikens, Ph.D.",6953599,Leveraging Natural Language Processing to Identify Caregiver Availability for Patients with ADRD from Electronic Medical Records,2022,Alzheimer's &amp; Dementia,"['Medical Records', 'Language']"
